text,score,title
TYT is such a garbage channel. Children with a platform.,0,Republican ADMITS What Is Behind Killing Border Deal
There aloud to protect their own state period james are you that stupid that you don't no are constitution laws.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
What Biden should do is wrap Israel's funding up with the border funding so they have to pass it.,0,Republican ADMITS What Is Behind Killing Border Deal
"Yup u stupid dems,creeps.when your shit gets broken into ...u wont even have a gun",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
How can you be this stupid?,1,Republican ADMITS What Is Behind Killing Border Deal
They have to be DEPORTED  Enough with this bulshit,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Oh you get the cuss on here but we don't you're such a lying fool it's hard to tell which side of your face you talk out of,1,Republican ADMITS What Is Behind Killing Border Deal
The left is destroying this country beyond belief...,0,Republican ADMITS What Is Behind Killing Border Deal
I wish grown azz men would  stop trying sound like the rapist trump... sounds cringy...,1,Republican ADMITS What Is Behind Killing Border Deal
"The moron on the left in this video is a complete idiot,  Texas will protect our own. We don't need the wretched union! Yes we will supercede DC",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Texas is right for this, our federal government has failed America at the southern boarder.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Who watches this crap, these people are idiots.",1,Republican ADMITS What Is Behind Killing Border Deal
"Democrats thumb their nose at people that do things the right way. From paying off college debt, to immigration, getting job, even sex and the continuation of life on this planet.  The Democratic mind these days is more like a sickness than a cure to anything.",0,Republican ADMITS What Is Behind Killing Border Deal
Biden the idiot,1,Republican ADMITS What Is Behind Killing Border Deal
Liberals are fuckin idiots. Come in get a phone and 3000 Dollars commit crime. I hate you fucks,1,Republican ADMITS What Is Behind Killing Border Deal
I love these comments. Good to see everyone knows you turds are liars. AMERICA FIRST!! THIS CHANNEL SUCKS!! 😂,1,Republican ADMITS What Is Behind Killing Border Deal
Why is this bullshit channel on my feed? GTFOH,1,Republican ADMITS What Is Behind Killing Border Deal
You are an idiot if you believe this deal  was a good deal it was not about border security it was money to process more people coming in not stopping anyone from  coming in.  Stop lying on air.,1,Republican ADMITS What Is Behind Killing Border Deal
The Young Turks always put out Bullshit that all they know!!,1,Republican ADMITS What Is Behind Killing Border Deal
"It’s not just the Texas border, it’s the border to The United States Of America. Crossing the border in any other way than legal should warrant arrest, along with being an accomplice. It’s not only illegal but treasonous.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
These idiots actually think someone will believe this? Biden started this insurrection via an invasion of illegalls. Where was Biden over the last three years? Texas Hispanics SUPPORTRUMP 2024!,1,Republican ADMITS What Is Behind Killing Border Deal
"we need to close borders, except if Biden does it 😂 love the stupidity of the right",1,Republican ADMITS What Is Behind Killing Border Deal
When will people wake up and see that the zionists want this shit. They are part of the synagogue of satan. Look it up,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Does it bother you, that every word out of your mouths are lies and propaganda!",0,Republican ADMITS What Is Behind Killing Border Deal
Close the border,0,Republican ADMITS What Is Behind Killing Border Deal
America can see your  bullcrap,1,Republican ADMITS What Is Behind Killing Border Deal
You are a babbling idiot the fact of the day is Texas holds the Supreme Law in this and why settle with Treasonous Democraps when they hold all the cards and now halting every ILLEGAL.  Now’ You’re Educated.,1,Republican ADMITS What Is Behind Killing Border Deal
Trump has no reason to be in politics the Republicans are the lowest people ever met my life giving into a fat old man that stinks removing all the Mexicans an immigrants to Republican states,0,Republican ADMITS What Is Behind Killing Border Deal
This dude's a Democrat of course. He's all for open borders. He's a Fool,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Republican Obstruction   What an idiotic and stupid comment, Turks.  You are the callest SOB.  Watch your mouth, immigrants, Turks!",1,Republican ADMITS What Is Behind Killing Border Deal
It’s a shit deal! Stop the cap 🧢,1,Republican ADMITS What Is Behind Killing Border Deal
How to these republicans senates get elected they even dont know the law Federal has power over state law are they that dumb .,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Yeah no sense in this deal it is bullshit,1,Republican ADMITS What Is Behind Killing Border Deal
These people right here are the enemy of the United States and Cenk not even from this country...Agenda i say so..,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Its not  razor wire,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"The constitution says if there is tyranny it is the citizens duty to defend America Article IV section 4.That was an lie, those doa in water were already dead before they got there, and they were in Mexico  .Jan 29th trucker convoy. God bless America 🇺🇸",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Trump I have bad predictions if Biden gets his way, so obstruct him while blaming him anyway somehow.",0,Republican ADMITS What Is Behind Killing Border Deal
"The people don't want them here, and as a people, they should protect our country from being overthrown. All of the organizations that are helping these illegals should be disbanded. Americans don't want any of them here . Stand your ground! Texas is right!!",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Who he making fun of your stupid dude,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Once again,Trump takes a crap and the republicans race to wipe his ass. I guess the border isn't that big of a deal after all if might help Biden and the democrats.Dumbasses.",1,Republican ADMITS What Is Behind Killing Border Deal
WHEN THE LAW IS BROKEN WE THE PEOPLE ARE ALLOWED TO STAND UP AND PROTECT THE LAW AND YOUR PROPERTY AND SAFE LIFES !!!!,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"WHY WONT ANY OF YOU LIBTARDS POST YOUR ADDRESS ON HERE SO THAT THESE TERRORISTS CAN COME GET SHELTER, FOOD, ETC FROM YOU?   OHHH YOU WONT? FUCKIN SHOCKED",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
this news channel is full of B S,0,Republican ADMITS What Is Behind Killing Border Deal
THIS Is ILLEGAL HxMann & CHiilD Trfffcccking,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"I don't understand, why Americans don't see how much these writers, paid host, producers at Fox, are completely against America, and the average citizen in it. Their lies. The hate they spread. Their desire for complete chaos! They're one of the biggest problems facing  🇺🇸",0,Republican ADMITS What Is Behind Killing Border Deal
"The Western world hates republicans..repulicans prefer China, North Korea and russia to europe, we should ban American republicans from coming to our shores, they don´t support us. they are all dumbass isolationist wankers.",1,Republican ADMITS What Is Behind Killing Border Deal
"Voters said in polls following the Iowa/New Hampshire elections that Immigration was their top issue yet they have no problem with the cowardly, non-representative elected officials caving up to their leader - convicted rapist & 91 felony count/4x indicted insurrectionist Trump. #VoteBlueToSaveAmerica #VoteBlueToSaveDemocracy",0,Republican ADMITS What Is Behind Killing Border Deal
This idiot needs to grow up. He sure has no place for kicking anyone. Especially looking like he’s Zelenskys twin. Short people have no reason,1,Republican ADMITS What Is Behind Killing Border Deal
Joe Biden opened the Border....Donald Trump had it closed....The young turds wrong again,0,Republican ADMITS What Is Behind Killing Border Deal
Shut the hell up liars kiars liars,1,Republican ADMITS What Is Behind Killing Border Deal
Biden has done everything to make sure the border is as porous as possible. He proved that when he sued Texas for actually enforcing border law.,0,Republican ADMITS What Is Behind Killing Border Deal
Lies everyone of these assholes,1,Republican ADMITS What Is Behind Killing Border Deal
You guys aren't even trying anymore. It's hilarious.,0,Republican ADMITS What Is Behind Killing Border Deal
Joe Biden did not comply with the supreme court ruling with the student loans,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Republicans are trash.,1,Republican ADMITS What Is Behind Killing Border Deal
BIDEN CAN STOP THIS ........!!!!!! .THESES GUYS  ARE STUPID  .,1,Republican ADMITS What Is Behind Killing Border Deal
"This ones a bozo! So, Dementia Joe who should have already done HIS JOB! And your voice of trying to do Trump shows how pathetic you lefty pedo lovers are! These are facts!",1,Republican ADMITS What Is Behind Killing Border Deal
